Timestamp,Kafka Lag,Kafka Message Rate,Flink Records In,CPU,Mem,Long-Term Prediction,Short-Term Prediction,Aggregate Prediction,Parallelism,Lag Latency
2021-03-15T17:37:18,17009,3860.47802734375,2153.1279296875,0.02626880817115307,0.1435554027557373,NaN,NaN,3860.47802734375,0,22.06348419189453
2021-03-15T17:37:38,54726,4773.5556640625,2467.295654296875,0.05676634609699249,0.37415215373039246,NaN,NaN,4773.5556640625,1,65.093994140625
2021-03-15T17:37:58,54726,5026.904296875,2532.54736328125,0.013686364516615868,0.2804972231388092,NaN,NaN,5026.904296875,1,64.50135040283203
2021-03-15T17:38:18,61850,5175.59130859375,3048.0478515625,0.03290441259741783,0.14523601531982422,NaN,NaN,5175.59130859375,2,54.74742126464844
2021-03-15T17:38:38,63577,5232.7392578125,3575.434326171875,0.03142409771680832,0.30798932909965515,NaN,6621.0,6621.0,2,43.805809020996094
2021-03-15T17:38:58,67340,5184.26953125,4167.5927734375,0.029359202831983566,0.19757694005966187,NaN,6399.0,6399.0,2,36.25773620605469
2021-03-15T17:39:18,70489,4950.03466796875,4576.02880859375,0.027151230722665787,0.35241010785102844,NaN,6178.0,6178.0,2,32.0671501159668
2021-03-15T17:39:38,71734,4650.921875,5345.96142578125,0.030898647382855415,0.23134642839431763,NaN,5841.0,5841.0,2,25.092159271240234
2021-03-15T17:39:58,82870,4202.33935546875,5774.69189453125,0.028028564527630806,0.2381223738193512,NaN,4917.0,4917.0,2,24.793682098388672
2021-03-15T17:40:18,88930,3789.286865234375,5360.63525390625,0.0895356684923172,0.4716184437274933,NaN,4917.0,4917.0,2,28.316082000732422
2021-03-15T17:40:38,97050,3440.50439453125,5852.302734375,0.039594050496816635,0.23924995958805084,NaN,4917.0,4917.0,2,26.332305908203125
2021-03-15T17:40:58,97050,3108.704345703125,6453.59130859375,0.03310677409172058,0.21360982954502106,NaN,4917.0,4917.0,4,22.282032012939453
2021-03-15T17:41:18,89776,2884.58251953125,7447.548828125,0.028818203136324883,0.23709343373775482,NaN,4917.0,4917.0,4,16.72340202331543
2021-03-15T17:41:38,85631,2658.800048828125,8481.6748046875,0.027841102331876755,0.26892808079719543,NaN,4917.0,4917.0,4,13.260969161987305
2021-03-15T17:41:58,70896,2500.19140625,9362.837890625,0.030485181137919426,0.24105174839496613,NaN,4917.0,4917.0,4,9.594091415405273
2021-03-15T17:42:18,65609,2374.208740234375,10946.013671875,0.028624296188354492,0.19108903408050537,NaN,2767.0,2767.0,4,7.293980598449707
2021-03-15T17:42:38,60516,2248.2783203125,11604.8779296875,0.029123015701770782,0.23449166119098663,NaN,2798.0,2798.0,4,6.225028991699219
2021-03-15T17:42:58,32377,2164.40869140625,10975.009765625,0.059136632829904556,0.2861107587814331,NaN,2542.0,2542.0,4,3.531855344772339
2021-03-15T17:43:18,36138,2087.713134765625,10456.7578125,0.029567068442702293,0.15933434665203094,NaN,2194.0,2194.0,4,4.145971775054932
2021-03-15T17:43:38,36138,2041.1304931640625,9791.064453125,0.023613590747117996,0.2829223573207855,NaN,1936.0,1936.0,3,4.460398197174072
2021-03-15T17:43:58,22040,2023.026123046875,8895.8623046875,0.024564137682318687,0.27578669786453247,NaN,1766.0,1766.0,3,3.040982246398926
2021-03-15T17:44:18,22040,2000.9478759765625,8085.90087890625,0.02584144100546837,0.26961323618888855,NaN,1766.0,1766.0,3,3.400245428085327
2021-03-15T17:44:38,16452,2027.9217529296875,6657.8388671875,0.023897318169474602,0.2619822025299072,NaN,2082.0,2082.0,3,3.223870277404785
2021-03-15T17:44:58,10721,2052.95654296875,7220.3740234375,0.02294042892754078,0.15861554443836212,NaN,2082.0,2082.0,3,1.907063364982605
2021-03-15T17:45:18,10721,2063.800048828125,6879.11328125,0.0225074365735054,0.23738723993301392,NaN,2082.0,2082.0,3,2.026109457015991
2021-03-15T17:45:38,4494,2120.791259765625,6231.1318359375,0.04364486038684845,0.24621032178401947,NaN,2082.0,2082.0,3,0.9666865468025208
2021-03-15T17:45:58,4494,2151.565185546875,6050.77294921875,0.019505739212036133,0.2620578110218048,NaN,2082.0,2082.0,3,1.006813406944275
2021-03-15T17:46:18,4494,2237.6259765625,5783.62353515625,0.027746859937906265,0.25200870633125305,NaN,2082.0,2082.0,3,1.0776433944702148
2021-03-15T17:46:38,819,2325.921630859375,5545.138671875,0.027058303356170654,0.27948707342147827,NaN,2082.0,2082.0,2,0.20977675914764404
2021-03-15T17:46:58,896,2419.50439453125,5269.173828125,0.027254005894064903,0.13144783675670624,NaN,2699.0,2699.0,2,0.24826580286026
2021-03-15T17:47:18,1348,2588.165283203125,4790.560546875,0.02557840570807457,0.25816869735717773,NaN,2745.0,2745.0,2,0.4335704445838928
2021-03-15T17:47:38,2613,2718.426025390625,5287.30419921875,0.02627178467810154,0.2467249631881714,NaN,2745.0,2745.0,2,0.7484363317489624
2021-03-15T17:47:58,3304,2896.31298828125,5217.23486328125,0.026767021045088768,0.23921062052249908,NaN,2745.0,2745.0,2,0.9848499298095703
2021-03-15T17:48:18,5058,3060.069580078125,5226.47802734375,0.025950470939278603,0.3718821406364441,NaN,2745.0,2745.0,2,1.5343844890594482
2021-03-15T17:48:38,6808,3266.800048828125,5228.13037109375,0.025882050395011902,0.2262708693742752,NaN,2745.0,2745.0,2,2.116013526916504
2021-03-15T17:48:58,7944,3531.391357421875,5241.03466796875,0.02627495490014553,0.3578483462333679,NaN,2745.0,2745.0,2,2.5371856689453125
